Reference, Value, Footprint, Datasheet
"MK4","Mounting_Hole_PAD","Mounting_Holes:MountingHole_4.3mm_M4_Pad_Via",""
"MK1","Mounting_Hole_PAD","Mounting_Holes:MountingHole_4.3mm_M4_Pad_Via",""
"MK5","Mounting_Hole","Mounting_Holes:MountingHole_3.2mm_M3",""
"MK6","Mounting_Hole","Mounting_Holes:MountingHole_3.2mm_M3",""
"MK7","Mounting_Hole","Mounting_Holes:MountingHole_3.2mm_M3",""
"MK8","Mounting_Hole","Mounting_Holes:MountingHole_3.2mm_M3",""
"MK9","Mounting_Hole","Mounting_Holes:MountingHole_3.2mm_M3",""
"J38","AGND","DriveParts:Test_Point",""
"J39","SP1_MISO","DriveParts:Test_Point",""
"J40","SP1_SCK","DriveParts:Test_Point",""
"J41","SP1_NSS","DriveParts:Test_Point",""
"J42","SP1_MOSI","DriveParts:Test_Point",""
"J43","DB15_Female_HighDensity_MountingHoles","DriveParts:DB_15F-VGA-mountingholes",""
